,avg_acc,avg_f1,avg_kappa,avg_prec,avg_recall,rank_fn,dir_fn
['200_Activ_tanh_Dropout_0.1_Hsize_3_mlnrep_5_300_1e-05_k-means++_50_kmeans_Dev_6223MClass_Balanced_None_Features_None_MD_3_DecisionTree3'],0.9550859713964327,0.3522826985315551,0.3144010207848492,0.539983008955399,0.2614140883678239,../../data/processed/newsgroups/clusters/rank/200_Activ_tanh_Dropout_0.1_Hsize_3_mlnrep_5_300_1e-05_k-means++_50_kmeans_best_50_rank.npy,../../data/processed/newsgroups/clusters/directions/200_Activ_tanh_Dropout_0.1_Hsize_3_mlnrep_5_300_1e-05_k-means++_50_kmeans_cent.npy
['200_Activ_tanh_Dropout_0.1_Hsize_3_mlnrep_10_300_0.001_k-means++_100_kmeans_Dev_6223MClass_Balanced_None_Features_None_MD_3_DecisionTree3'],0.9578097380684556,0.39993880629310313,0.37059645404607944,0.5612339433408156,0.310657715299428,../../data/processed/newsgroups/clusters/rank/200_Activ_tanh_Dropout_0.1_Hsize_3_mlnrep_10_300_0.001_k-means++_100_kmeans_best_100_rank.npy,../../data/processed/newsgroups/clusters/directions/200_Activ_tanh_Dropout_0.1_Hsize_3_mlnrep_10_300_0.001_k-means++_100_kmeans_cent.npy
['200_Activ_tanh_Dropout_0.1_Hsize_3_mlnrep_10_1000_1e-05_k-means++_200_kmeans_Dev_6223MClass_Balanced_None_Features_None_MD_3_DecisionTree3'],0.9601398039530773,0.47807798769085946,0.4305154960968217,0.7154879912483304,0.358967130729127,../../data/processed/newsgroups/clusters/rank/200_Activ_tanh_Dropout_0.1_Hsize_3_mlnrep_10_1000_1e-05_k-means++_200_kmeans_best_200_rank.npy,../../data/processed/newsgroups/clusters/directions/200_Activ_tanh_Dropout_0.1_Hsize_3_mlnrep_10_1000_1e-05_k-means++_200_kmeans_cent.npy
