,avg_acc,avg_f1,avg_kappa,avg_prec,avg_recall,rank_fn,dir_fn
['num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_6_50_derrac_Dev_6223MClass_Balanced_balanced_Features_None_MD_1_DecisionTree1'],0.7286276715410575,0.2517911157084153,0.17634484059640235,0.14986419693637384,0.7871634518338481,../../data/processed/newsgroups/clusters/rank/num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_6_50_derrac_best_50_rank.npy,../../data/processed/newsgroups/clusters/directions/num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_6_50_derrac_cent.npy
['num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_10_1000_0.0_k-means++_50_kmeans_Dev_6223MClass_Balanced_balanced_Features_None_MD_1_DecisionTree1'],0.794488188976378,0.32734372047628385,0.2553033260758293,0.20505714717632792,0.8109665829695741,../../data/processed/newsgroups/clusters/rank/num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_10_1000_0.0_k-means++_50_kmeans_best_50_rank.npy,../../data/processed/newsgroups/clusters/directions/num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_10_1000_0.0_k-means++_50_kmeans_cent.npy
['num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_1.0_100_derrac_Dev_6223MClass_Balanced_balanced_Features_None_MD_1_DecisionTree1'],0.7742889281696931,0.29130990930890377,0.21662288028741214,0.17998482069263752,0.7636406406979763,../../data/processed/newsgroups/clusters/rank/num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_1.0_100_derrac_best_100_rank.npy,../../data/processed/newsgroups/clusters/directions/num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_1.0_100_derrac_cent.npy
['num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_10_100_0.0_k-means++_100_kmeans_Dev_6223MClass_Balanced_balanced_Features_None_MD_1_DecisionTree1'],0.7952273822914993,0.3386035798651589,0.26576913425740184,0.21542616420744906,0.7907323572842986,../../data/processed/newsgroups/clusters/rank/num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_10_100_0.0_k-means++_100_kmeans_best_100_rank.npy,../../data/processed/newsgroups/clusters/directions/num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_10_100_0.0_k-means++_100_kmeans_cent.npy
['num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_1.0_200_derrac_Dev_6223MClass_Balanced_balanced_Features_None_MD_1_DecisionTree1'],0.7908404306604532,0.3175157293905906,0.24467257021357425,0.19886170394009334,0.7872278585221066,../../data/processed/newsgroups/clusters/rank/num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_1.0_200_derrac_best_200_rank.npy,../../data/processed/newsgroups/clusters/directions/num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_1.0_200_derrac_cent.npy
['num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_10_1000_1e-05_k-means++_200_kmeans_Dev_6223MClass_Balanced_balanced_Features_None_MD_1_DecisionTree1'],0.8103406717017517,0.3494529111480776,0.2806463708317025,0.22223696548280952,0.8173071042786881,../../data/processed/newsgroups/clusters/rank/num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_10_1000_1e-05_k-means++_200_kmeans_best_200_rank.npy,../../data/processed/newsgroups/clusters/directions/num_stw_num_stw_100_AWVEmp_ndcg_2000_5000_0_rank_10_1000_1e-05_k-means++_200_kmeans_cent.npy
