,f1,acc,prec,kappa,recall
galiza,0.443983402,0.806218366,0.301408451,0.357007543,0.842519685
guangzhou,0.374760994,0.763557484,0.247474747,0.273770926,0.771653543
pierce,0.367132867,0.738250181,0.235955056,0.261634166,0.826771654
sedona,0.38563327,0.765003615,0.253731343,0.285979803,0.803149606
naturewatcher,0.428571429,0.785972523,0.283887468,0.336604654,0.874015748
ventanas,0.391389432,0.775126537,0.260416667,0.293944125,0.787401575
perched,0.403669725,0.765003615,0.263157895,0.30589765,0.866141732
autriche,0.402321083,0.776572668,0.266666667,0.306199681,0.818897638
gel,0.331103679,0.71077368,0.210191083,0.21798134,0.779527559
turntable,0.346938776,0.722342733,0.221258134,0.237086093,0.803149606
infocus,0.355172414,0.729573391,0.227373068,0.247185909,0.811023622
fallcolor,0.422924901,0.788864787,0.2823219,0.330878893,0.842519685
barra,0.409867173,0.775126537,0.27,0.314277925,0.850393701
ninja,0.35355286,0.730296457,0.226666667,0.245479317,0.803149606
vallejo,0.336879433,0.729573391,0.217391304,0.226859229,0.748031496
bombardier,0.39453125,0.775849602,0.262337662,0.297516328,0.795275591
mango,0.379182156,0.758496023,0.248175182,0.27786324,0.803149606
natal,0.362989324,0.741142444,0.234482759,0.257428505,0.803149606
vigo,0.428,0.793203181,0.286863271,0.337188609,0.842519685
champ,0.350758853,0.721619667,0.223175966,0.241252289,0.818897638
automatic,0.333878887,0.70571222,0.210743802,0.220469562,0.803149606
italiano,0.411881188,0.785249458,0.275132275,0.318145826,0.818897638
screw,0.341296928,0.720896602,0.217864924,0.230616904,0.787401575
silverefexpro,0.365853659,0.736804049,0.234899329,0.26001905,0.826771654
cheerful,0.328671329,0.722342733,0.211235955,0.216761105,0.74015748
statueofliberty,0.385321101,0.757772957,0.251196172,0.284540655,0.826771654
lowkey,0.360424028,0.738250181,0.232346241,0.254183103,0.803149606
ted,0.373239437,0.742588576,0.240362812,0.269003608,0.834645669
brooks,0.333878887,0.70571222,0.210743802,0.220469562,0.803149606
guernsey,0.36900369,0.752711497,0.240384615,0.266408584,0.793650794
e300,0.348920863,0.738250181,0.225581395,0.242120656,0.76984127
1785,0.342756184,0.731019523,0.220454545,0.234294491,0.76984127
paw,0.365553603,0.738973247,0.23476298,0.260669845,0.825396825
ready,0.314569536,0.700650759,0.19874477,0.199075084,0.753968254
bluffs,0.372759857,0.74692697,0.240740741,0.269744286,0.825396825
stands,0.421940928,0.801879971,0.287356322,0.33266766,0.793650794
xprocess,0.341708543,0.715835141,0.21656051,0.231187381,0.80952381
newyearsday,0.346483705,0.724511931,0.221006565,0.237586544,0.801587302
psychedelic,0.343434343,0.718004338,0.217948718,0.233376826,0.80952381
renewal,0.366548043,0.742588576,0.236238532,0.262260741,0.817460317
sant,0.435684647,0.803326103,0.29494382,0.347928736,0.833333333
fineartphotos,0.423762376,0.789587852,0.2823219,0.332479139,0.849206349
carnaval,0.437113402,0.802603037,0.295264624,0.349358162,0.841269841
ubc,0.351535836,0.725234996,0.223913043,0.243302549,0.817460317
captured,0.322884013,0.687635575,0.201171875,0.206913305,0.817460317
sigma30mmf14,0.338815789,0.709327549,0.213692946,0.227180984,0.817460317
artifact,0.387947269,0.765003615,0.254320988,0.289157427,0.817460317
tierra,0.391866913,0.762111352,0.255421687,0.293053542,0.841269841
markers,0.345423143,0.725958062,0.220750552,0.236591558,0.793650794
balustrade,0.424,0.79175705,0.28342246,0.333105624,0.841269841
dumbo,0.346534653,0.713665944,0.21875,0.23631435,0.833333333
mic,0.421471173,0.789587852,0.281167109,0.329965287,0.841269841
toast,0.38576779,0.762834418,0.25245098,0.286424857,0.817460317
towpath,0.381651376,0.756326826,0.248210024,0.280917755,0.825396825
dedication,0.396190476,0.770788142,0.260651629,0.299133371,0.825396825
porcelain,0.370909091,0.749819234,0.240566038,0.268099516,0.80952381
greenway,0.342560554,0.725234996,0.219026549,0.233314368,0.785714286
contemporaryart,0.402298851,0.774403471,0.265151515,0.306425947,0.833333333
jelly,0.364937388,0.743311641,0.23556582,0.260573721,0.80952381
navidad,0.419417476,0.783803326,0.277634961,0.326757481,0.857142857
