,f1,acc,prec,kappa,recall
nikkor50mmf18,0.484162896,0.835140998,0.335423197,0.408189005,0.869918699
philscamera,0.419287212,0.799710774,0.282485876,0.330970456,0.81300813
steampunk,0.382239382,0.768618944,0.250632911,0.285299019,0.804878049
abandonded,0.473684211,0.826464208,0.324324324,0.39511235,0.87804878
magickingdom,0.412121212,0.789587852,0.274193548,0.321410686,0.829268293
clearing,0.535796767,0.854663774,0.374193548,0.468055548,0.943089431
kettle,0.409542744,0.785249458,0.271052632,0.317880861,0.837398374
kawaii,0.452905812,0.802603037,0.300531915,0.368230032,0.918699187
slc,0.439425051,0.802603037,0.293956044,0.3534694,0.869918699
cubs,0.537170264,0.860448301,0.380952381,0.470805156,0.910569106
persona,0.542288557,0.866955893,0.390681004,0.477826205,0.886178862
shopfront,0.474576271,0.820679682,0.320916905,0.395006721,0.910569106
cakes,0.444906445,0.806941432,0.298882682,0.360204798,0.869918699
impala,0.458947368,0.81417209,0.309659091,0.376800922,0.886178862
pablo,0.506849315,0.843817787,0.352380952,0.434510018,0.902439024
shrewsbury,0.481132075,0.840925524,0.338870432,0.406143505,0.829268293
FALSE,0.486486486,0.835140998,0.336448598,0.410704074,0.87804878
goldenphotographer,0.615803815,0.898047722,0.463114754,0.564275133,0.918699187
msu,0.503401361,0.84164859,0.349056604,0.430334321,0.902439024
scala,0.564231738,0.874909617,0.408759124,0.50324823,0.910569106
barcelone,0.546341463,0.865509761,0.390243902,0.481822137,0.910569106
classiccar,0.46460177,0.825018077,0.319148936,0.384974145,0.853658537
awe,0.470338983,0.81923355,0.318051576,0.390127742,0.902439024
arty,0.525301205,0.857556038,0.373287671,0.457391065,0.886178862
fotocompetition,0.634408602,0.901663051,0.473895582,0.58499808,0.959349593
chiba,0.430107527,0.808387563,0.292397661,0.344330483,0.81300813
presents,0.430327869,0.798987708,0.287671233,0.342907536,0.853658537
lewes,0.529126214,0.859725235,0.37716263,0.46199935,0.886178862
orkney,0.480851064,0.823571945,0.325648415,0.402367493,0.918699187
salford,0.458947368,0.81417209,0.309659091,0.376800922,0.886178862
coldwar,0.470588235,0.824295011,0.321428571,0.391334822,0.87804878
canoscan,0.512195122,0.85538684,0.365853659,0.442819503,0.853658537
openspace,0.505854801,0.847433116,0.355263158,0.43420448,0.87804878
anticando,0.591029024,0.887924801,0.4375,0.535182499,0.910569106
gravestones,0.54679803,0.866955893,0.392226148,0.482654306,0.902439024
planting,0.498855835,0.84164859,0.347133758,0.425419301,0.886178862
gypsy,0.460176991,0.823571945,0.316109422,0.379891286,0.845528455
prize,0.480549199,0.835864064,0.334394904,0.404430052,0.853658537
5000,0.485125858,0.837310195,0.337579618,0.409677364,0.861788618
unionjack,0.494382022,0.837310195,0.341614907,0.419691061,0.894308943
mano,0.549618321,0.872017354,0.4,0.48691781,0.87804878
alfred,0.520737327,0.849602314,0.363344051,0.450725202,0.918699187
diablo,0.43254818,0.808387563,0.293604651,0.346987102,0.821138211
sailors,0.557142857,0.865509761,0.393939394,0.493424551,0.951219512
iphonography,0.490654206,0.842371656,0.344262295,0.416719869,0.853658537
maxxum,0.577319588,0.881417209,0.422641509,0.518868765,0.910569106
kodakektar100,0.49187935,0.84164859,0.344155844,0.417885663,0.861788618
nikkorlens,0.446854664,0.815618221,0.304733728,0.363897081,0.837398374
smashed,0.453563715,0.817064353,0.308823529,0.371464139,0.853658537
prescott,0.49187935,0.84164859,0.344155844,0.417885663,0.861788618
raft,0.512471655,0.844540853,0.355345912,0.440739173,0.918699187
goggles,0.434968017,0.808387563,0.294797688,0.349622279,0.829268293
chesterfield,0.519083969,0.863340564,0.377777778,0.452132576,0.829268293
sierras,0.516703786,0.843094722,0.355828221,0.445031261,0.943089431
chad,0.474654378,0.835140998,0.331189711,0.397910318,0.837398374
shake,0.469083156,0.819956616,0.317919075,0.388890368,0.894308943
northeastengland,0.529411765,0.861171367,0.377622378,0.462999515,0.885245902
terrasse,0.535626536,0.863340564,0.38245614,0.47016972,0.893442623
londonbridge,0.533018868,0.856832972,0.374172185,0.465902353,0.926229508
ribs,0.392,0.780187997,0.259259259,0.298424077,0.803278689
summilux,0.442922374,0.823571945,0.306962025,0.361672184,0.795081967
patriotism,0.530805687,0.856832972,0.373333333,0.463518708,0.918032787
ljubljana,0.555555556,0.872740419,0.401459854,0.493756395,0.901639344
velo,0.5,0.848156182,0.352348993,0.428453915,0.860655738
wny,0.439655172,0.812002892,0.298245614,0.355896135,0.836065574
phnompenh,0.446854664,0.815618221,0.303834808,0.364392346,0.844262295
birdofprey,0.541062802,0.862617498,0.383561644,0.475837499,0.918032787
gears,0.458244111,0.817064353,0.310144928,0.377050319,0.87704918
regina,0.447004608,0.826464208,0.310897436,0.366678497,0.795081967
1979,0.460526316,0.822125813,0.314371257,0.38046661,0.860655738
cantabria,0.541772152,0.86912509,0.391941392,0.478138232,0.87704918
minimalistic,0.471111111,0.82791034,0.323170732,0.393060898,0.868852459
ciutat,0.5,0.848156182,0.352348993,0.428453915,0.860655738
1987,0.486363636,0.836587129,0.336477987,0.411298707,0.87704918
monochrom,0.45751634,0.819956616,0.3115727,0.376789143,0.860655738
geel,0.520094563,0.853217643,0.365448505,0.45119584,0.901639344
th,0.465217391,0.822125813,0.316568047,0.385564232,0.87704918
feeder,0.46799117,0.825741142,0.320241692,0.389258523,0.868852459
globalwarming,0.439655172,0.812002892,0.298245614,0.355896135,0.836065574
mythology,0.567088608,0.876355748,0.41025641,0.506970374,0.918032787
penthouse,0.461873638,0.821402748,0.314540059,0.381794853,0.868852459
smoky,0.486842105,0.830802603,0.332335329,0.410687751,0.909836066
stephanie,0.509090909,0.843817787,0.352201258,0.437347437,0.918032787
canoneosdigitalrebelxti,0.547738693,0.869848156,0.394927536,0.484692293,0.893442623
brasile,0.544554455,0.866955893,0.390070922,0.480588826,0.901639344
