,f1,acc,prec,kappa,recall
coventry,0.503961965,0.773680405,0.364678899,0.383918774,0.815384615
fourth,0.488095238,0.751265365,0.343815514,0.359985794,0.841025641
murray,0.422969188,0.702096891,0.290944123,0.274193302,0.774358974
maharashtra,0.468335788,0.738973247,0.328512397,0.334579507,0.815384615
medina,0.49378882,0.76428055,0.354120267,0.369907008,0.815384615
1969,0.497777778,0.754880694,0.35,0.371805849,0.861538462
monumento,0.565371025,0.822125813,0.431266846,0.466816489,0.820512821
iris,0.474320242,0.748373102,0.336188437,0.343777611,0.805128205
filming,0.456808199,0.731742589,0.319672131,0.319747994,0.8
software,0.467261905,0.741142444,0.329140461,0.333938704,0.805128205
ilustrarportugal,0.490322581,0.771511208,0.357647059,0.368191872,0.779487179
townhall,0.550724638,0.798264642,0.401408451,0.442969065,0.876923077
shuttle,0.515297907,0.782357195,0.375586854,0.399045478,0.820512821
newyearseve,0.465185185,0.738973247,0.327083333,0.331038087,0.805128205
sevilla,0.53516295,0.804049168,0.402061856,0.427769864,0.8
absolutelystunningscapes,0.548031496,0.792480116,0.395454545,0.438270321,0.892307692
tier,0.478581979,0.744757773,0.336099585,0.347598792,0.830769231
mecklenburgvorpommern,0.515497553,0.785249458,0.377990431,0.400152462,0.81025641
symmetrical,0.510046368,0.770788142,0.365044248,0.389842468,0.846153846
raindrops,0.501547988,0.767172813,0.359201774,0.379360805,0.830769231
marc,0.482758621,0.761388286,0.347629797,0.356820334,0.78974359
naturereserve,0.555735057,0.801156905,0.405660377,0.449376517,0.882051282
dots,0.490853659,0.758496023,0.349240781,0.365019011,0.825641026
auditorium,0.536977492,0.79175705,0.390186916,0.426208868,0.860824742
cash,0.480243161,0.752711497,0.340517241,0.352057996,0.81443299
ear,0.489425982,0.75560376,0.346153846,0.363108717,0.835051546
reality,0.437681159,0.71945047,0.304435484,0.295630738,0.778350515
campania,0.509803922,0.78308026,0.373205742,0.393608998,0.804123711
birding,0.5,0.767172813,0.357777778,0.37808148,0.829896907
mediterraneo,0.532445923,0.79681851,0.393120393,0.422780264,0.824742268
frontpage,0.467958271,0.74186551,0.329140461,0.335415666,0.809278351
nathan,0.434173669,0.707881417,0.298076923,0.288875426,0.798969072
snowdonia,0.528951487,0.782357195,0.379775281,0.414573949,0.871134021
moors,0.511415525,0.767895879,0.362850972,0.391013832,0.865979381
vip,0.518167457,0.779464931,0.37357631,0.401771646,0.845360825
bean,0.451798561,0.724511931,0.313373253,0.31282595,0.809278351
today,0.436519258,0.714389009,0.301775148,0.293079285,0.788659794
obelisk,0.574358974,0.819956616,0.429667519,0.476126003,0.865979381
universe,0.462664714,0.734634852,0.323108384,0.327606421,0.81443299
urbanexploring,0.483516484,0.762111352,0.347629797,0.358319924,0.793814433
batiment,0.524429967,0.788864787,0.383333333,0.411491077,0.829896907
nocturna,0.540983607,0.797541576,0.396634615,0.43238418,0.850515464
wise,0.470760234,0.738250181,0.328571429,0.337640173,0.829896907
sales,0.480243161,0.752711497,0.340517241,0.352057996,0.81443299
flickrlovers,0.530805687,0.785249458,0.382687927,0.417462882,0.865979381
blackpool,0.495297806,0.767172813,0.355855856,0.372852713,0.81443299
darwin,0.448275862,0.722342733,0.310756972,0.308312668,0.804123711
tumblr,0.456395349,0.729573391,0.317813765,0.319267943,0.809278351
parrot,0.501510574,0.761388286,0.354700855,0.378183067,0.855670103
canals,0.495268139,0.768618944,0.356818182,0.373235028,0.809278351
adjust,0.490853659,0.758496023,0.348484848,0.365484786,0.829896907
wake,0.500763359,0.763557484,0.355748373,0.377932784,0.845360825
tattoos,0.504702194,0.771511208,0.362612613,0.384538687,0.829896907
goa,0.484756098,0.75560376,0.344155844,0.357885801,0.819587629
barbecue,0.484935438,0.740419378,0.335984095,0.354181327,0.871134021
anime,0.486983155,0.757772957,0.346405229,0.360964791,0.819587629
sailor,0.494488189,0.767895879,0.35600907,0.372161104,0.809278351
thing,0.44822695,0.718727404,0.30859375,0.307951164,0.81865285
americas,0.486404834,0.754157628,0.343283582,0.359819853,0.834196891
aspen,0.477929985,0.751988431,0.338362069,0.349758131,0.813471503
hp,0.45112782,0.736080983,0.31779661,0.315534988,0.777202073
wealth,0.5,0.768618944,0.357941834,0.378931149,0.829015544
isolation,0.44534413,0.702819957,0.301094891,0.30108143,0.85492228
frisco,0.440875912,0.723065799,0.306910569,0.300687973,0.78238342
4s,0.48358209,0.749819234,0.339622642,0.355520897,0.839378238
viking,0.46686747,0.744034707,0.329087049,0.335264071,0.803108808
ef2470mmf28lusm,0.422377622,0.701373825,0.289272031,0.274557917,0.78238342
1960,0.490853659,0.758496023,0.347732181,0.365953358,0.834196891
lucas,0.477794793,0.753434563,0.339130435,0.349996348,0.808290155
hyde,0.470769231,0.751265365,0.334792123,0.341563467,0.792746114
rip,0.42919708,0.717281273,0.298780488,0.286080933,0.761658031
rhine,0.466165414,0.743311641,0.328389831,0.334287454,0.803108808
pepsi,0.467261905,0.741142444,0.32776618,0.334955043,0.813471503
geocaching,0.522292994,0.78308026,0.377011494,0.407805154,0.849740933
strangers,0.46676514,0.738973247,0.326446281,0.333842584,0.81865285
females,0.439592431,0.721619667,0.305668016,0.298881935,0.78238342
