Orig,ndcg,Bow,ndcg,Vector,ndcg
successful,0.722562563,successful,0.709177364,successful,0.72194607
fight,0.830835611,fight,0.69313885,fight,0.835766016
god,0.777162772,god,0.599923776,god,0.781874651
meant,0.702001163,meant,0.698553975,meant,0.702635762
members,0.73624432,members,0.686942071,members,0.734507177
hilarious,0.890734143,hilarious,0.841501014,hilarious,0.891132585
total,0.676545318,total,0.673006677,total,0.67674961
horrible,0.779667299,horrible,0.71963704,horrible,0.781929847
odd,0.709293676,odd,0.68919317,odd,0.710379932
filmmakers,0.729118554,filmmakers,0.702022217,filmmakers,0.729248361
shame,0.655955817,shame,0.656656854,shame,0.65639756
talented,0.72825615,talented,0.718748823,talented,0.729030131
presence,0.702889556,presence,0.703379098,presence,0.702566947
missed,0.683127693,missed,0.673380865,missed,0.682410761
sequence,0.727931985,sequence,0.699613227,sequence,0.720725857
die,0.668545788,die,0.62616078,die,0.670168998
pictures,0.701797644,pictures,0.68117504,pictures,0.703106667
cinematic,0.746740298,cinematic,0.706883496,cinematic,0.748138656
impressive,0.715543586,impressive,0.71782837,impressive,0.715181322
track,0.686627293,track,0.657364348,track,0.688302652
spent,0.704294026,spent,0.707778629,spent,0.704457016
product,0.733506134,product,0.688332769,product,0.734499939
heavy,0.653663282,heavy,0.654576402,heavy,0.654045832
pace,0.73074026,pace,0.709225156,pace,0.732029159
share,0.713473638,share,0.7011986,share,0.714460312
key,0.661152059,key,0.669204849,key,0.661360543
era,0.804263442,era,0.742236049,era,0.802902361
popular,0.721653544,popular,0.690128705,popular,0.718812403
remains,0.697922354,remains,0.694651896,remains,0.698676065
tone,0.690062803,tone,0.679797023,tone,0.690945838
aspect,0.685324489,aspect,0.680196025,aspect,0.684261691
issues,0.760438347,issues,0.711129253,issues,0.761525668
involving,0.713912096,involving,0.717094518,involving,0.714560275
immediately,0.69285677,immediately,0.693979816,immediately,0.693638277
agree,0.713197291,agree,0.701501931,agree,0.713389796
delivers,0.726203778,delivers,0.70774423,delivers,0.725226671
pick,0.67976704,pick,0.673483288,pick,0.680217902
oscar,0.777839163,oscar,0.667699551,oscar,0.776636939
likes,0.700349365,likes,0.705157928,likes,0.700562022
presented,0.69437443,presented,0.684513287,presented,0.694508307
cheap,0.742837843,cheap,0.738614498,cheap,0.742757776
fully,0.694243081,fully,0.702997486,fully,0.694637185
date,0.718865311,date,0.643730013,date,0.72173587
credit,0.67777238,credit,0.682805254,credit,0.677800646
potential,0.724071149,potential,0.717957256,potential,0.725867165
incredible,0.682510656,incredible,0.665882677,incredible,0.678789238
ability,0.707829003,ability,0.703846594,ability,0.708546722
crazy,0.68274746,crazy,0.658478806,crazy,0.683868845
sees,0.70937044,sees,0.704772637,sees,0.710579806
beautifully,0.76293821,beautifully,0.746017343,beautifully,0.762797023
places,0.685192477,places,0.681923243,places,0.686369139
fit,0.696014988,fit,0.690250292,fit,0.696712309
premise,0.779618818,premise,0.749083889,premise,0.781514117
leaving,0.676683523,leaving,0.674395822,leaving,0.677071621
company,0.704646637,company,0.62087717,company,0.703921203
weak,0.706756166,weak,0.706896508,weak,0.70730949
wrote,0.706178053,wrote,0.690575114,wrote,0.706629028
killed,0.778131828,killed,0.739921998,killed,0.779192492
outstanding,0.73499254,outstanding,0.718849227,outstanding,0.7327262
terms,0.677875415,terms,0.683529309,terms,0.677822521
extra,0.640287279,extra,0.619054619,extra,0.640656833
addition,0.701533752,addition,0.704740109,addition,0.700893856
standard,0.687090584,standard,0.681360313,standard,0.685692569
war,0.880171869,war,0.827136272,war,0.89346356
details,0.716026449,details,0.714038039,details,0.716612171
received,0.659794765,received,0.624397211,received,0.659993921
state,0.679362563,state,0.650828678,state,0.679248411
game,0.701248372,game,0.614697063,game,0.714101828
puts,0.698427619,puts,0.702745083,puts,0.698866048
write,0.713700247,write,0.690505076,write,0.712315646
romantic,0.886386715,romantic,0.780257623,romantic,0.895267185
incredibly,0.670161646,incredibly,0.667633173,incredibly,0.669094033
spend,0.692257283,spend,0.682774263,spend,0.692501956
force,0.643052123,force,0.636344558,force,0.642623359
honest,0.724693414,honest,0.696985178,honest,0.725683216
common,0.680806584,common,0.679463585,common,0.680704129
bunch,0.715438402,bunch,0.69562944,bunch,0.712009813
expecting,0.730695938,expecting,0.708137488,expecting,0.731351436
minor,0.653674361,minor,0.661539532,minor,0.654241765
daughter,0.779365987,daughter,0.699483507,daughter,0.775860751
visual,0.787471327,visual,0.721155994,visual,0.788036252
beauty,0.736296375,beauty,0.691861631,beauty,0.736234788
clever,0.786232474,clever,0.750637985,clever,0.785808144
appeal,0.705460468,appeal,0.713118066,appeal,0.705828087
compelling,0.740477688,compelling,0.721818786,compelling,0.740873375
car,0.815403013,car,0.652787663,car,0.818800619
smart,0.733382664,smart,0.68018199,smart,0.733650304
edge,0.681471815,edge,0.663100487,edge,0.683341021
dull,0.697773849,dull,0.69266625,dull,0.696483697
ridiculous,0.756350669,ridiculous,0.738721301,ridiculous,0.757178807
america,0.748961188,america,0.671026952,america,0.751303797
mentioned,0.685845999,mentioned,0.693069762,mentioned,0.686320302
editing,0.692416335,editing,0.663327601,editing,0.69259686
worthy,0.698961471,worthy,0.693360265,worthy,0.697553241
offer,0.688629206,offer,0.690422997,offer,0.689118603
adds,0.675763264,adds,0.680523437,adds,0.675428977
sadly,0.688470067,sadly,0.693275699,sadly,0.687498249
added,0.702359463,added,0.68783514,added,0.7015383
sequences,0.800662053,sequences,0.765963148,sequences,0.799576863
younger,0.734023745,younger,0.719240927,younger,0.735544001
decides,0.731033497,decides,0.704579577,decides,0.731974339
biggest,0.70790927,biggest,0.705716787,biggest,0.704865769
television,0.759234183,television,0.6632069,television,0.760022906
generally,0.685444221,generally,0.702465718,generally,0.685779954
romance,0.839544649,romance,0.786077452,romance,0.845396101
provide,0.697912451,provide,0.698536271,provide,0.698487304
meaning,0.712605698,meaning,0.683625837,meaning,0.713959669
office,0.70288061,office,0.647198519,office,0.704373687
ended,0.709828779,ended,0.689253537,ended,0.711271918
respect,0.713022439,respect,0.70150339,respect,0.71353012
annoying,0.705698741,annoying,0.690772013,annoying,0.707561217
horror,0.906085708,horror,0.891095161,horror,0.913527524
finding,0.689560437,finding,0.688252196,finding,0.689869168
convincing,0.712065754,convincing,0.718574084,convincing,0.712085557
trailer,0.671384819,trailer,0.648324042,trailer,0.669846382
exciting,0.771238397,exciting,0.764069345,exciting,0.774231287
buying,0.724924061,buying,0.694424725,buying,0.725143542
fresh,0.692400666,fresh,0.674823857,fresh,0.691683416
barely,0.704449483,barely,0.704587755,barely,0.704948162
subtle,0.736091618,subtle,0.713824283,subtle,0.736597579
public,0.727574972,public,0.695076655,public,0.72852415
included,0.730372156,included,0.695085585,included,0.731332096
ride,0.716334699,ride,0.658408967,ride,0.716760196
basic,0.639988164,basic,0.643026168,basic,0.639631796
flat,0.719063529,flat,0.7087405,flat,0.721205466
mix,0.716235221,mix,0.710932594,mix,0.717506994
reviewers,0.699821968,reviewers,0.691050854,reviewers,0.700302331
mood,0.710891894,mood,0.68936054,mood,0.711514096
control,0.692583289,control,0.675120355,control,0.693368709
literally,0.695976847,literally,0.69605274,literally,0.696036078
thinks,0.70774228,thinks,0.706507524,thinks,0.707747596
portrayed,0.737530758,portrayed,0.728855871,portrayed,0.738471846
development,0.704523173,development,0.685663295,development,0.704862826
masterpiece,0.774938233,masterpiece,0.710435267,masterpiece,0.775825652
