,avg_acc,avg_f1,avg_kappa,avg_prec,avg_recall,dir_fn,rank_fn
[ 'num_stw_num_stw_50_MDS_Dev_4753MClass_Balanced_None_Features_None_MD_3_DecisionTree3'],0.915357806,0.492347414,0.424336034,0.538115798,0.453754237,../../data/processed/movies/directions/fil/num_stw_num_stw_50_MDS_ndcg_1000_20000_0_dir.npy,../../data/processed/movies/rank/fil/num_stw_num_stw_50_MDS_ndcg_1000_20000_0_rank.npy
[ 'num_stw_num_stw_50_PCA_Dev_4753MClass_Balanced_None_Features_None_MD_3_DecisionTree3'],0.909860134,0.453994012,0.376124674,0.520353542,0.402645524,../../data/processed/movies/directions/fil/num_stw_num_stw_50_PCA_ndcg_2000_20000_0_dir.npy,../../data/processed/movies/rank/fil/num_stw_num_stw_50_PCA_ndcg_2000_20000_0_rank.npy
[ 'num_stw_num_stw_50_AWVEmp_Dev_4753MClass_Balanced_None_Features_None_MD_3_DecisionTree3'],0.907838528,0.417232852,0.341056688,0.485046001,0.366055489,../../data/processed/movies/directions/fil/num_stw_num_stw_50_AWVEmp_ndcg_2000_20000_0_dir.npy,../../data/processed/movies/rank/fil/num_stw_num_stw_50_AWVEmp_ndcg_2000_20000_0_rank.npy
