Placetypes,D1,,D2,,D3,,DN,,SVM,,Movies,D1,,D2,,D3,,DN,,SVM,
OpenCYC,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,Genres,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1
PCA,0.585744395,0.346181476,0.707606821,0.343429484,0.695152328,0.341785127,0.831768538,0.308890047,0.84671393,0.474074812,PCA,0.72174096,0.301159236,0.755449647,0.339353339,0.71668237,0.320860435,0.883789643,0.371984533,0.924779773,0.517960827
AWV,0.624640736,0.382961496,0.650890975,0.375734032,0.728300441,0.39586446,0.843839816,0.361596554,0.849971259,0.465697168,AWV,0.678537125,0.289518309,0.773561778,0.321018379,0.75603509,0.342787038,0.873187644,0.311720505,0.92177938,0.496185348
MDS,0.624065913,0.364362146,0.700134125,0.397197263,0.730599732,0.374349802,0.842690171,0.305261263,0.861084499,0.476306142,MDS,0.679296371,0.29753523,0.790246892,0.358394087,0.773040368,0.353841174,0.887402922,0.385348539,0.874934824,0.532082959
PPMI,0.727725618,0.371451066,0.750143706,0.351219981,0.739413681,0.352395495,0.843073386,0.322657133,0.899597624,0.365646608,PPMI,0.851764103,0.428635017,0.910290069,0.442932197,0.911854298,0.482894127,0.882170528,0.416291712,0.923316166,0.526434049
Topic,0.707990036,0.365061802,0.869515233,0.271014536,0.869898448,0.313179241,0.830618893,0.312514477,0.808200805,0.406948414,Topic,0.766518172,0.415141913,0.905451019,0.472369549,0.911982364,0.455151531,0.888811643,0.414993,0.843192858,0.490667769
,,,,,,,,,,,,,,,,,,,,,
Foursquare,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,Keywords,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1
PCA,0.730994152,0.342263034,0.82289056,0.392580599,0.860484545,0.388032162,0.887218045,0.398256756,0.895572264,0.568015809,PCA,0.647197559,0.185315459,0.643824953,0.193227544,0.676595834,0.198613346,0.845825794,0.160671176,0.786543236,0.271581518
AWV,0.766917293,0.401290958,0.827903091,0.478278996,0.850459482,0.452009868,0.904761905,0.505069034,0.923141186,0.621747387,AWV,0.500393436,0.159807032,0.640500736,0.179006085,0.595291395,0.174131382,0.853155902,0.141374744,0.717321692,0.229967601
MDS,0.914786967,0.437858477,0.803675856,0.42673129,0.859649123,0.453720532,0.893065998,0.461813202,0.932330827,0.619167077,MDS,0.633313697,0.179227058,0.690393436,0.198081829,0.674441405,0.20085018,0.839978961,0.163452532,0.788266358,0.280197745
PPMI,0.888888889,0.473492254,0.914786967,0.511814176,0.903926483,0.491296272,0.881370092,0.309723654,0.93817878,0.567440172,PPMI,0.817586787,0.242930146,0.744870608,0.223818662,0.738771302,0.223996102,0.846741006,0.16951905,0.920595413,0.216577368
Topic,0.863826232,0.488233119,0.915622389,0.432573117,0.917293233,0.526192773,0.90726817,0.463772296,0.915622389,0.56850363,Topic,0.629377235,0.188811299,0.93179676,0.05007071,0.929724385,0.075284641,0.856690511,0.151959496,0.67782874,0.209918522
,,,,,,,,,,,,,,,,,,,,,
Geonames,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,Ratings,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1
PCA,0.502070393,0.301104799,0.69047619,0.305148854,0.680124224,0.29478471,0.820910973,0.24285113,0.8436853,0.40092042,PCA,0.649902818,0.462895199,0.681041464,0.475077367,0.683997408,0.485920838,0.743642695,0.407788041,0.771379981,0.580044555
AWV,0.657349896,0.325658374,0.754658385,0.323247726,0.841614907,0.367019639,0.8126294,0.332311235,0.865424431,0.513988009,AWV,0.601433431,0.422529145,0.617751863,0.432668994,0.596371882,0.447514581,0.736030126,0.371806586,0.729915776,0.532245645
MDS,0.626293996,0.349125673,0.694616977,0.33974778,0.796066253,0.271625693,0.844720497,0.294533825,0.637681159,0.39650034,MDS,0.591796242,0.437419477,0.63483965,0.449226355,0.631478782,0.452177899,0.751660188,0.412086538,0.773283123,0.589196084
PPMI,0.808488613,0.360895784,0.731884058,0.301173948,0.759834369,0.241570453,0.830227743,0.282899548,0.894409938,0.311678082,PPMI,0.583171364,0.469853827,0.635042112,0.452671347,0.60515873,0.452979651,0.729632329,0.384477613,0.825153871,0.53564108
Topic,0.771221532,0.364567626,0.863354037,0.300383762,0.84989648,0.219452781,0.82815735,0.348384714,0.81884058,0.349407008,Topic,0.574708455,0.472656428,0.788589245,0.24345697,0.789196631,0.379822369,0.73931001,0.375189569,0.703879171,0.501236061
