,ndcg
mojavedesert,0.741434981
folk,0.741261989
frau,0.740908941
unfinished,0.740509517
zurich,0.74045615
ni,0.74025335
burlesque,0.739670722
ant,0.739290353
jc,0.73853534
li,0.738054622
present,0.737911464
airplane,0.737538767
ambulance,0.73658291
jess,0.736553108
hokkaido,0.736258665
vereinigtestaaten,0.735377735
kenya,0.734910723
passion,0.734769716
couleurs,0.73458483
dubrovnik,0.734452482
marielaureeven,0.734333072
antiquity,0.734110515
prato,0.733261454
on,0.733207662
resorts,0.73312852
arabia,0.733021639
hostel,0.732887119
mann,0.732742448
mystery,0.732543639
beads,0.732339525
campagna,0.732305109
tv,0.731769275
campground,0.731542535
milk,0.73146166
philippines,0.731072785
evan,0.730534886
christmastree,0.7302268
bakersfield,0.730140247
cusco,0.72945308
hydepark,0.729315218
mixed,0.729045916
dutch,0.728856017
metromanila,0.728650065
farmhouse,0.728134959
sardinia,0.7280056
mental,0.727542072
ale,0.727529151
defunct,0.727460112
batonrouge,0.727295611
blade,0.727266826
toscane,0.726754313
50mmf18,0.726546475
marokko,0.726378277
richard,0.726272734
28135mm,0.725719684
mission,0.725337477
peloponnese,0.725061411
flute,0.724433479
ciel,0.724384506
repeat,0.72396573
d5000,0.723599491
bangalore,0.723474163
climatechange,0.723344637
zonsondergang,0.723177487
customs,0.7221203
duty,0.722003724
3d,0.72183077
palermo,0.721745279
evanston,0.721371341
laugh,0.720731132
dartmouth,0.720614457
wonder,0.720482911
elsalvador,0.720405229
swan,0.720047831
buckinghamshire,0.719377484
fla,0.719236917
metroplex,0.719204349
beard,0.719093611
313,0.718288103
nightime,0.718181963
mike,0.718107183
1997,0.717981445
davidson,0.717630981
ornate,0.717525168
aerialphoto,0.717130696
register,0.716527917
twins,0.716306969
puddle,0.716113185
alumni,0.715993325
multipleexposure,0.71581891
d3s,0.715704225
civilization,0.71557957
candles,0.7153905
pavement,0.715171757
trick,0.715048436
potsdam,0.714992267
crete,0.714904991
today,0.71478091
chihuahua,0.714625829
b,0.71452915
banks,0.714455885
topf50,0.714082575
caracas,0.713783103
sonnenuntergang,0.713483995
homer,0.713460717
kultur,0.713150849
markings,0.713130581
gorse,0.712914281
des,0.712816299
bass,0.711993421
mercedesbenz,0.711968139
entrada,0.711937702
branco,0.711830957
governor,0.711818224
symmetry,0.711636874
jazz,0.711096285
icicle,0.710964093
perspektive,0.710816679
crucifix,0.710008507
corrugated,0.709994118
diafine,0.709395709
runway,0.709357756
es,0.709226926
asie,0.708749764
ear,0.708530238
apron,0.708499739
doors,0.708459895
buddha,0.708177048
die,0.708060323
spill,0.707936693
painterly,0.707815619
milan,0.707729698
doe,0.707595475
bn,0.707550003
canong7,0.707207952
aegean,0.706864796
sacred,0.706623124
anchorage,0.706518061
guadalajara,0.706333689
province,0.706193473
bmx,0.706122102
clothing,0.70579856
basement,0.705788017
arrival,0.705647107
boots,0.705447242
eos350d,0.705431782
mining,0.705151643
fairytale,0.705043616
polen,0.705031912
buddy,0.704919957
latinoamerica,0.70463841
2470l,0.704619754
beauxarts,0.704201114
blossoms,0.704160615
favorites,0.703987595
welcomeuk,0.703555594
catalunya,0.703457415
fortifications,0.703415659
ballard,0.703017255
embankment,0.702916397
cameron,0.702837544
rifle,0.702834771
lightbulb,0.702758659
riodejaneiro,0.702459799
hotrod,0.702409625
d7k,0.702407658
citylife,0.702130083
washingtondc,0.702078302
baie,0.701993531
egypt,0.70182944
gravity,0.70178613
flyer,0.701676418
kitty,0.701432541
naked,0.701398193
rim,0.699894821
behind,0.69983801
apartment,0.699392991
crop,0.699254425
straightoutofcamera,0.698763522
glace,0.698700659
stacked,0.698576198
campo,0.698483819
kennedy,0.698450915
johnson,0.698110752
newbrunswick,0.697840232
goldengate,0.69754401
canonefs18135mmf3556is,0.697103104
walter,0.696902155
appalachian,0.696636461
erin,0.696541196
antico,0.696291652
ttc,0.696240686
dolphin,0.696044749
breeze,0.695999722
karst,0.695989354
chief,0.695954798
shining,0.695163524
oval,0.695162623
conifer,0.695157014
aeroplane,0.694528044
citylights,0.694458252
burnaby,0.694243051
meal,0.694197517
antlers,0.694193481
chickens,0.694160784
branding,0.694134438
leith,0.693843197
charlie,0.693471582
atlas,0.693435553
burner,0.693378233
gown,0.693155339
thisphotorocks,0.69288786
advertisement,0.692443039
avion,0.692322176
petra,0.692209773
55250mm,0.692202527
stonewall,0.691792931
leather,0.691783279
bush,0.691633119
short,0.691229076
innovation,0.691073822
austintexas,0.690794688
britannia,0.690790107
glacial,0.690691728
crater,0.690656915
autoportrait,0.690503102
coth,0.690380606
astoria,0.690357304
rainyday,0.690338578
clarity,0.690132716
architectuur,0.68997627
chips,0.68996565
belly,0.689614974
ourdailychallenge,0.689460402
cup,0.689418869
dca,0.689300643
novel,0.688656397
bed,0.688273646
geel,0.688115835
rooster,0.68798221
stalls,0.687966308
deserto,0.687947381
relax,0.687932365
blackbird,0.687885182
monmouth,0.686920754
ef50mmf18ii,0.686850515
muskegon,0.686208931
voiture,0.685622797
dach,0.685387527
moth,0.68515515
licht,0.685126295
j,0.685031317
noise,0.68481708
seller,0.684783565
distortion,0.684639954
peaceful,0.684469385
northbeach,0.684460932
brake,0.684425001
konomark,0.683977539
3000,0.683936926
motorcity,0.683817187
condo,0.683663798
ff,0.683337516
nikonstunninggallery,0.68318725
funeral,0.682776306
chicagoland,0.682384966
a300,0.682311131
birthday,0.682221639
bostonma,0.682196256
prospect,0.682152054
leefilters,0.681992104
off,0.681866503
throughtheviewfinder,0.68103499
foods,0.680902585
composer,0.680847906
shelter,0.680706829
varsity,0.680654801
ferrari,0.680441302
kent,0.680413617
hdri,0.680179525
wash,0.680040766
jeff,0.679668562
nikond40x,0.679495569
r72,0.679372228
caribbean,0.679089774
10d,0.678951137
mausoleum,0.678305596
golddragon,0.677857851
ace,0.67781851
century,0.677532483
cola,0.677378286
brooks,0.677302371
london2012,0.677230365
vertorama,0.677069055
f8,0.676853889
sabah,0.676846269
lisbon,0.676754892
ashland,0.676368255
ledge,0.676359175
you,0.676333747
erasmus,0.676135014
lyrics,0.675958979
32,0.675557607
helsinki,0.675373919
urn,0.675318651
25mm,0.675223052
magasin,0.675195288
sam,0.675020817
louisiana,0.674397216
bone,0.674078417
blend,0.673751477
doll,0.673733046
german,0.673648207
beatles,0.673263273
highrises,0.673032081
apollo,0.672945098
1978,0.672905547
canoe,0.672244362
montecarlo,0.672170832
paddling,0.671973086
mustang,0.671824511
foret,0.671707506
bratislava,0.671694875
greece,0.671566892
chichester,0.671538539
artillery,0.671442508
louise,0.671160315
valleys,0.670826292
essen,0.67052377
edk7,0.670511894
hunt,0.67049047
coaches,0.670415652
daniel,0.670337808
hund,0.670323333
celebrities,0.670106164
romance,0.66982181
76,0.669538519
sailors,0.669534483
lichen,0.669484789
amber,0.669316789
canoneos40d,0.668921856
a77,0.668830123
palazzo,0.668636008
artwork,0.66863229
beachfront,0.668614715
blauw,0.668430803
fans,0.668408832
distant,0.668407839
bicicleta,0.668379799
past,0.668247115
bethlehem,0.668123263
hoover,0.668102616
package,0.668088862
player,0.66790903
bud,0.667821462
banana,0.667794711
a200,0.667443144
bend,0.667202809
birmingham,0.667191194
uniform,0.666987841
hometown,0.666893977
bean,0.666790935
delete6,0.666725064
gloom,0.66650614
eco,0.666442543
belt,0.666437507
lawn,0.666416952
cactus,0.666329154
peakdistrict,0.666253932
airbus,0.666202474
lapland,0.665951547
icecream,0.665804101
feet,0.665629377
crawford,0.665610687
fotografia,0.665556899
busch,0.665422021
travelphotos,0.665366812
agency,0.664751235
availablelight,0.664307465
premier,0.664261209
hate,0.664202906
retreat,0.664065941
elmada,0.664035749
frankfurtammain,0.663737112
aqua,0.663692873
army,0.663652861
arboretum,0.663378273
bubbles,0.66328946
alps,0.663147469
ferries,0.662983002
tanker,0.662981325
plateau,0.662941811
couleur,0.662755537
canonrebelxti,0.662749947
truth,0.662432832
43,0.662319375
cards,0.662295827
bathing,0.662222743
at,0.661984682
newfoundland,0.661936704
ball,0.661933557
ipod,0.66158065
maghreb,0.661497455
bp,0.661334056
ariel,0.660856089
builtstructure,0.660619184
canarias,0.660598695
racer,0.660578546
it,0.660556756
charlottesville,0.660537767
pilot,0.660521945
trips,0.660268491
tarmac,0.660041618
hang,0.659749069
rusting,0.65961724
norwich,0.65912198
pasture,0.658980813
atmospheric,0.658958372
arctic,0.658876329
neo,0.65883585
1st,0.658527467
falmouth,0.658504533
kaohsiung,0.658292585
sul,0.658199184
nd,0.658098565
onion,0.658020573
sandwich,0.657688431
trespass,0.657581098
flickrtravelaward,0.657324048
restored,0.657032062
caballo,0.656896987
animalplanet,0.656825567
reflexions,0.656809753
guard,0.656750082
amigos,0.656592022
neighbourhood,0.656559703
hen,0.656393219
lovely,0.65638768
bracken,0.656130391
court,0.65577726
haus,0.655766062
sphere,0.655684948
mo,0.655510735
corn,0.655363402
cuzco,0.655270044
contax,0.655141629
mississippi,0.6551141
pinetree,0.655052844
5000,0.654951068
grassland,0.654901817
jordan,0.654726169
kyle,0.654375603
galveston,0.654092315
other,0.654090392
bizarre,0.654019568
angel,0.653983166
70300,0.65389371
audubon,0.653763789
caravan,0.653625996
apples,0.653522938
minimalistic,0.653418631
canaries,0.653412407
grip,0.65329125
lowtide,0.653182747
pont,0.653141915
rent,0.653036238
quick,0.65293863
allen,0.652920224
treno,0.652682863
stores,0.652634147
cairns,0.652620199
research,0.652538198
bow,0.652219115
archives,0.6519865
monaco,0.651950843
crane,0.651884435
cherokee,0.651823866
mac,0.651391377
newdelhi,0.651367796
michellepearson,0.651355052
44,0.651301298
ayrshire,0.650889321
myrtle,0.650871377
dorf,0.650699537
monorail,0.650320923
largeformat,0.650317749
bergen,0.650148242
ombra,0.649953873
cooking,0.649843866
botany,0.649745544
matin,0.649685089
sailor,0.649628341
laborday,0.649603353
floating,0.649509418
christian,0.649319697
knights,0.649209104
trade,0.649179511
sf,0.649156807
niebo,0.649102005
balconies,0.649007584
sichuan,0.648848965
anawesomeshot,0.648733819
outline,0.648316236
tie,0.648251424
confederate,0.648188265
excellent,0.647793672
macau,0.647716987
bread,0.647581986
facebook,0.647574152
equirectangular,0.64752527
verfall,0.647505179
leicam8,0.647471369
models,0.647383181
chico,0.647377557
base,0.647308475
a350,0.647168186
activism,0.64692722
carlsbad,0.646761575
kingston,0.646673306
andrea,0.646549356
holz,0.646340726
antalya,0.646168685
grab,0.646070046
highcontrast,0.646016374
rockformation,0.645798524
figure,0.645715557
pleasant,0.645656697
curves,0.645276053
wrong,0.645073334
desk,0.645056212
gelb,0.64497356
if,0.644817755
fowl,0.644471532
urbanart,0.644467475
canonef24105mmf4lisusm,0.643915432
demolish,0.643625162
bistro,0.643621887
faith,0.643318106
dilapidated,0.64296144
crowds,0.642953324
50,0.642790513
londonist,0.642598009
pat,0.642502183
agriculture,0.642255872
devon,0.642093071
ever,0.641643665
kitsch,0.641639518
pad,0.641364724
parkland,0.64134718
zenit,0.64131158
3exp,0.641234996
lexington,0.64107486
fridge,0.641050798
delicate,0.641048113
buddhism,0.640991743
snorkeling,0.640939923
goth,0.640874428
a550,0.640871807
fly,0.640858142
constitution,0.64085047
arlington,0.640838511
litter,0.640780385
shieldofexcellence,0.640779255
freezing,0.640647403
korean,0.640420076
banco,0.639941427
noiretblanc,0.639767143
hose,0.639746437
newspaper,0.639707521
canonae1,0.639686343
calcutta,0.639672908
pepper,0.639603352
filipino,0.639579562
czech,0.639542912
smart,0.639501619
biker,0.639315342
pr,0.638956985
beaufort,0.638641222
scaffolding,0.638609351
arabic,0.637890432
propeller,0.637849993
belfry,0.637730968
midwestern,0.637531741
damniwishidtakenthat,0.637481914
aloha,0.637393022
moor,0.637183452
buick,0.637153068
boise,0.637027593
bois,0.636924359
rooftops,0.636850184
sx70,0.636821252
sanmateo,0.636728241
guangdong,0.636707835
juneau,0.636664124
streetview,0.636646754
chapelle,0.636466038
sailboat,0.636346581
ships,0.636332332
haiti,0.636320024
forces,0.636108774
4wd,0.636074678
bunt,0.635890459
southasia,0.635758657
anna,0.635741107
passage,0.635726721
a1,0.635587866
penn,0.635551946
gmc,0.635439215
junction,0.634834
circular,0.634826528
canarywharf,0.634814246
bikeride,0.634808307
buff,0.634733299
champions,0.63438746
malaga,0.634250451
2470mm,0.63399999
customers,0.633993483
e300,0.633971296
municipality,0.633282527
20,0.633174801
scared,0.633109957
pregnant,0.633044768
jay,0.63276666
rob,0.632727944
latina,0.632670567
muro,0.632578879
artisan,0.632572018
swift,0.632501525
piste,0.632458351
horticulture,0.632375668
cielo,0.632215631
disney,0.631966785
contrail,0.631893947
ottawa,0.631857953
association,0.631683942
champagne,0.63164861
belgien,0.631642797
sword,0.631611255
jane,0.631523896
cadiz,0.631412321
greenhouse,0.631365612
berry,0.63129172
mound,0.631055981
eagles,0.630523227
sooc,0.630514647
chile,0.630509201
refraction,0.630456882
newyearsday,0.630446854
casino,0.630394544
culinary,0.630383057
drummer,0.630316774
sonycybershot,0.630102058
islanda,0.630086584
detroit,0.629853246
arbres,0.629828628
canon5dmarkii,0.629783184
reinounido,0.6297617
andy,0.629727065
biking,0.629717643
velvia,0.629692756
sink,0.629589456
expression,0.629199164
groen,0.629179878
clinton,0.629103561
atardecer,0.628891317
lombardia,0.628864902
coloured,0.628617574
apache,0.628452548
bride,0.628367266
57,0.628197308
ambient,0.627908145
familia,0.627827529
fingers,0.627747015
f35,0.62770584
dover,0.627702762
phare,0.627621383
josh,0.627427967
contemporaryart,0.62741503
adventures,0.627302027
pared,0.627195871
thessaloniki,0.627145657
shutters,0.627099176
docklands,0.627036491
arm,0.626934532
southerncalifornia,0.626882727
thecity,0.626877268
