,ndcg
backpacking,0.554806671
tarmac,0.554609759
dedication,0.554541671
plum,0.554487752
lanka,0.554338502
ditch,0.554184264
geel,0.554076365
95,0.554070851
900,0.553980578
headquarters,0.553893165
hotels,0.553664886
ripples,0.553661913
tanker,0.553624254
varsity,0.553429994
adriatic,0.553390483
vacanza,0.553077876
d7k,0.552537775
arte,0.552415576
19thcentury,0.551968138
scream,0.551949039
arabic,0.551663287
object,0.551576025
mausoleum,0.551341956
kiwi,0.551063594
foot,0.551041902
80,0.550939564
drip,0.550911459
cosina,0.550798209
wicked,0.550796658
malta,0.550580036
aberystwyth,0.55036283
mojave,0.550189946
chris,0.550096533
montecarlo,0.550017484
boot,0.549922128
fukuoka,0.549816989
essen,0.548983479
a1,0.54891779
puddles,0.548817518
northernireland,0.548692479
canong11,0.548639508
leefilters,0.548468417
bronze,0.548456166
blight,0.54812079
canon5dmarkii,0.548117986
alameda,0.548106026
tech,0.548043657
hare,0.547768511
gingerbread,0.54766292
lowersilesia,0.547560828
jaipur,0.547482378
hunt,0.547479514
1960s,0.547288065
metromanila,0.547089353
fortifications,0.547070457
1020,0.546681543
2470l,0.54659792
camerabag,0.546498176
1967,0.546403138
1986,0.546267879
constitution,0.546208629
roman,0.54609398
stonewall,0.545678116
beaufort,0.545498961
catalonia,0.545335721
arab,0.545319149
redlight,0.54517191
owen,0.545073144
louise,0.545020282
oldtowndrafting,0.544994364
tarn,0.544852571
foveon,0.544808187
animalplanet,0.544747525
canonxsi,0.54453999
coins,0.544507027
african,0.544254186
deserto,0.544192957
trafficlight,0.54414478
bold,0.543880653
andy,0.543595964
amphitheater,0.54348551
kitty,0.543461414
equestrian,0.543393162
amanda,0.543101544
scans,0.54288018
spiderman,0.542659496
venetian,0.542568336
50mmf14,0.542549274
1,0.542383698
burlington,0.542337444
share,0.542288815
metro,0.5422177
buffet,0.541914738
bethlehem,0.541897334
eco,0.541861478
peloponnese,0.541712725
geothermal,0.541684067
streetview,0.541631157
clinic,0.541567594
thunder,0.541142722
written,0.541023089
beirut,0.54093287
beef,0.540699957
dumpster,0.54030769
bellagio,0.540305678
champions,0.540259554
baustelle,0.539853492
carro,0.53982571
shining,0.5395176
blog,0.539236959
mulher,0.539161325
manualfocus,0.539155552
waste,0.539065922
built,0.53889825
altar,0.538874322
greenhouse,0.538770285
perspektive,0.538749458
apache,0.538651894
joke,0.538618482
drummer,0.53832829
1936,0.538222901
if,0.538073285
warner,0.538064741
dried,0.538022168
prime,0.537910421
blades,0.537896013
spinning,0.53786561
southwales,0.537770856
hide,0.537752623
2nd,0.53774523
beauxarts,0.53769293
butler,0.537570312
culinary,0.537530288
invierno,0.537403779
midwestern,0.537382192
alaska,0.537312799
57,0.53717606
gregory,0.536900647
stockport,0.536853277
expression,0.536844735
short,0.536773703
highstreet,0.536720159
on,0.536673808
journey,0.536670273
crow,0.536659
1976,0.536521026
feast,0.536319806
potomac,0.536315474
chicken,0.53627917
bliss,0.536243829
ttc,0.536228521
cards,0.536198758
islande,0.536110204
falcon,0.536017944
4s,0.536014384
gelb,0.536009273
cubism,0.535980991
forsale,0.53589259
mysterious,0.535596167
agency,0.53553514
