immigrants (immigrant, america)
flashback (flashbacks, present)
bloated (spectacle, overlong)
chapter (previous, installment)
rebel (rebellious, freedom)
assault (attack, violent)
client (lawyer, attorney)
predecessor (sequel, sequels)
competitive (competition, sport)
jealous (attraction, crush)
betrayal (loyalty, affair)
artsy (pretentious, artistic)
hotel (manager, vacation)
stereotypical (stereotypes, clich)
