,acc,f1,kappa,prec,recall
kidnapped,0.826226928,0.447577894,0.368402476,0.308560677,0.814569536
borderline,0.763413936,0.350167027,0.251504488,0.229580005,0.737582781
slide,0.768135642,0.353996412,0.25648309,0.233070866,0.735708368
powerfully,0.803906138,0.413187754,0.32699323,0.278579677,0.7995029
transform,0.777722135,0.371942591,0.277627017,0.245989305,0.762220381
rehash,0.798898269,0.399230605,0.31092567,0.269009217,0.773819387
communication,0.782372299,0.374588816,0.281265017,0.249111293,0.754763877
shaped,0.760123051,0.344220614,0.244619115,0.225236755,0.729684909
tragically,0.769351839,0.358280255,0.261490826,0.235663786,0.746887967
static,0.763557018,0.351833693,0.253549427,0.230354391,0.74439834
restoration,0.836671913,0.463958676,0.388337137,0.323510151,0.819917012
swimming,0.779582201,0.375936804,0.282412278,0.248660236,0.770124481
andrew,0.720990127,0.309978769,0.201682748,0.196986733,0.726970954
intro,0.789097153,0.383263598,0.2919624,0.256223776,0.760165975
suspicion,0.781585348,0.372714198,0.2792682,0.247611248,0.753322259
dedication,0.77879525,0.370521173,0.276423902,0.245415318,0.755813953
streak,0.76005151,0.348484848,0.249423358,0.227434077,0.745016611
fulfill,0.760981542,0.345287086,0.246047986,0.225955373,0.731727575
blade,0.813564172,0.417783735,0.33390081,0.285757946,0.776578073
invisible,0.75146659,0.332949309,0.231114511,0.216533467,0.720099668
cream,0.753755902,0.3388398,0.237985278,0.220334749,0.733167082
automatically,0.758835313,0.342500488,0.24273928,0.223751274,0.729842062
void,0.768278724,0.355166235,0.258041362,0.233507853,0.741479634
christ,0.839247389,0.461538462,0.386364167,0.324242424,0.800498753
distinction,0.753541279,0.333784568,0.232397088,0.217489919,0.717373234
bearing,0.747818,0.336033151,0.234069286,0.217243059,0.741479634
lightweight,0.770424953,0.363167295,0.267137163,0.238529718,0.760598504
illustrates,0.76656174,0.353733413,0.256275183,0.232128932,0.742928453
mon,0.782014594,0.377019015,0.284161889,0.249932231,0.767054908
observed,0.76226928,0.34906954,0.250520606,0.228285934,0.741264559
owe,0.768135642,0.35348095,0.256300052,0.232423924,0.737718568
observe,0.760194592,0.345056663,0.245942736,0.225370087,0.735833333
informs,0.742523966,0.3321581,0.229295833,0.21365481,0.745833333
incoherent,0.807983975,0.410369069,0.32502898,0.278639618,0.778333333
exhilarating,0.809414795,0.414762742,0.33005857,0.281622912,0.786666667
downfall,0.789240235,0.383682008,0.292731375,0.256145251,0.764166667
sensation,0.759908428,0.347842985,0.249027365,0.226754497,0.746455379
trashy,0.786593218,0.383804999,0.292490129,0.255079627,0.774812344
nut,0.779653742,0.372964169,0.27959536,0.246634356,0.764607679
hostile,0.771140363,0.35177305,0.255082022,0.232271876,0.724540902
investigating,0.832307912,0.452336449,0.375217824,0.314081765,0.808013356
impending,0.775718987,0.36832561,0.273907717,0.242762284,0.76293823
obtain,0.766919445,0.350478469,0.253017532,0.230225249,0.733722871
denied,0.774145085,0.36260852,0.267406427,0.239147803,0.749582638
reverse,0.757404493,0.343211311,0.243712836,0.223398891,0.740183793
mexico,0.828086994,0.438944665,0.359961806,0.304601426,0.785296575
protection,0.788310202,0.379274177,0.287943511,0.253221289,0.755221387
gathering,0.759836887,0.34676007,0.24795979,0.226027397,0.744360902
paranoid,0.819645157,0.431053938,0.349774355,0.295299938,0.797827903
candidate,0.770424953,0.354974874,0.258539595,0.233721546,0.737677527
viewpoint,0.782086135,0.368049793,0.274734133,0.244757174,0.741638796
youngest,0.812634139,0.418129305,0.334507011,0.284720121,0.786789298
tested,0.764487051,0.346306593,0.248208892,0.227083333,0.72909699
nifty,0.793890399,0.389489299,0.300069491,0.260857224,0.768394649
scattered,0.760552296,0.343081452,0.244090635,0.224160041,0.730769231
addicted,0.79968522,0.39810834,0.310444754,0.267939815,0.774247492
formidable,0.772285019,0.364543821,0.269367,0.239444007,0.763377926
irresistible,0.770854199,0.362079267,0.266450949,0.237647059,0.760033445
fence,0.771569609,0.361527694,0.266017305,0.237519706,0.756485356
kingdom,0.810630992,0.411123471,0.326592678,0.28,0.773221757
castle,0.796608957,0.386623517,0.297528614,0.260389422,0.75041876
lasted,0.777435971,0.36158424,0.267048032,0.239467247,0.737855946
raging,0.768350265,0.353692615,0.257011406,0.232180294,0.742043551
gaps,0.775647446,0.360261118,0.265320105,0.238133765,0.739530988
counting,0.781299184,0.370858201,0.277795278,0.245839018,0.754606365
uncertain,0.759479182,0.344127975,0.245216523,0.224313327,0.738693467
efficient,0.797252826,0.393667095,0.305358856,0.26429187,0.77116513
labeled,0.772571183,0.356086692,0.260338362,0.234775641,0.736797988
gently,0.774574331,0.367903711,0.273581128,0.241824895,0.768650461
poses,0.754471312,0.326794821,0.225599818,0.213261649,0.698825503
ann,0.744741737,0.328566052,0.226194452,0.211790393,0.73238255
suggesting,0.756617542,0.336065574,0.23608632,0.218972533,0.722315436
recover,0.762412362,0.349206349,0.251346557,0.227818972,0.747483221
pursued,0.767849478,0.35755296,0.26136097,0.233937824,0.758186398
jewel,0.768851052,0.352634743,0.256119496,0.231578947,0.738874895
cruise,0.773286593,0.356286817,0.260855877,0.23493169,0.73697479
establishment,0.789526399,0.389119601,0.299291878,0.258411473,0.787394958
conclusions,0.8026184,0.402943086,0.316539882,0.271349461,0.782352941
incorrect,0.781227643,0.369224422,0.276240641,0.244669218,0.75210084
bowl,0.757261411,0.340781037,0.241558449,0.221576554,0.737594617
conveying,0.774073544,0.357869052,0.2628332,0.235924933,0.740740741
recieved,0.784303906,0.380267215,0.288911471,0.251563775,0.778619529
exit,0.744813278,0.326599962,0.224320108,0.210513507,0.728114478
nazi,0.8486908,0.475055845,0.403567234,0.336853221,0.805555556
trips,0.765631707,0.35256917,0.255764422,0.230371901,0.750841751
contempt,0.770997281,0.365006943,0.2701881,0.238774981,0.774410774
gate,0.748461869,0.334846765,0.233889491,0.215959004,0.744949495
denying,0.757118329,0.34192673,0.242864167,0.2221103,0.742424242
overwrought,0.769208757,0.361188119,0.26580275,0.236085944,0.768323505
bust,0.774860495,0.36769138,0.273765786,0.241424802,0.770850885
uniquely,0.757404493,0.338599571,0.23931719,0.220304569,0.731255265
hating,0.779725283,0.369186642,0.276145498,0.243909042,0.759056445
catholic,0.851409358,0.47983972,0.409344754,0.341411262,0.807076664
plagued,0.759979969,0.348163979,0.250185542,0.226262626,0.754844145
addressed,0.777435971,0.36934928,0.276032118,0.243127836,0.768128162
backs,0.751180426,0.32779281,0.22663943,0.212637914,0.715008432
wings,0.754972099,0.341472794,0.24220192,0.22117061,0.748735245
independence,0.773930462,0.370768618,0.277061423,0.24270073,0.784991568
criticized,0.784232365,0.383231084,0.29231934,0.252901484,0.7907173
ron,0.740735441,0.320584927,0.217367888,0.206073753,0.721518987
pulse,0.78101302,0.368475346,0.275691538,0.243855816,0.753586498
landing,0.802475318,0.391448093,0.304299391,0.264916468,0.749367089
polish,0.739519245,0.317269829,0.213555558,0.203953713,0.713924051
pretends,0.752539705,0.336466526,0.236431245,0.217725919,0.740084388
