,acc,f1,kappa,prec,recalls
genesis,0.717699242,0.162208068,0.094573025,0.092898833,0.638795987
campus,0.620117327,0.131217277,0.058544936,0.072723975,0.670568562
daytime,0.64916297,0.135401975,0.063738556,0.075679937,0.642140468
loan,0.606882244,0.127639308,0.054413012,0.070513945,0.672240803
gaping,0.707755044,0.166836631,0.099158932,0.095005807,0.683946488
waitress,0.593504078,0.125307882,0.051632654,0.069006443,0.680602007
immigrant,0.607096867,0.133480593,0.060693727,0.07369338,0.70735786
unorthodox,0.6397911,0.132345339,0.060336961,0.073761045,0.64321608
starved,0.630848476,0.125423729,0.052692689,0.069771827,0.619765494
argues,0.64408356,0.142389243,0.071217476,0.079362029,0.691792295
memorably,0.636714838,0.130777131,0.058578792,0.072831268,0.639865997
obtained,0.680998712,0.140019286,0.069703064,0.079119442,0.608040201
whiz,0.754542853,0.178990189,0.114129309,0.104410944,0.626465662
barren,0.673773072,0.147982063,0.07801083,0.083280757,0.663316583
endurance,0.67076835,0.136261261,0.065370877,0.076727964,0.608040201
fourteen,0.646730577,0.126017699,0.053728052,0.070453196,0.596314908
boldly,0.671340678,0.137762763,0.066995612,0.077573452,0.614740369
abomination,0.69451996,0.154790182,0.085937725,0.087766554,0.654941374
wrapping,0.670482186,0.135510511,0.064558509,0.076305221,0.604690117
participating,0.635641723,0.130739034,0.058511704,0.072786013,0.641541039
extends,0.660180283,0.13573508,0.064618768,0.076122449,0.625838926
sobering,0.68729432,0.160875408,0.092328304,0.090830262,0.703020134
lou,0.650665331,0.1231819,0.050908129,0.068972451,0.575503356
wells,0.690370582,0.145001976,0.07544156,0.082176444,0.615771812
anatomy,0.61382172,0.120273794,0.046890275,0.066606498,0.619127517
competently,0.678423237,0.145924378,0.076055889,0.082279837,0.644295302
junkies,0.688152812,0.1573555,0.088587801,0.088922875,0.682885906
reed,0.644512806,0.123478568,0.051063891,0.068992706,0.587248322
slapping,0.64551438,0.132376116,0.060629466,0.073900293,0.634228188
summarize,0.692516812,0.147898493,0.078718313,0.083839065,0.626890756
heist,0.804120761,0.237750557,0.179466661,0.142475809,0.717647059
perky,0.655959365,0.144458281,0.073966669,0.080779944,0.682352941
convictions,0.6743454,0.152327747,0.082902657,0.08565445,0.687394958
diminish,0.656603234,0.13451136,0.063323735,0.075338315,0.626890756
overhead,0.674202318,0.141402715,0.071200805,0.079634742,0.630252101
autobiographical,0.684361139,0.169427711,0.101503242,0.095399618,0.756302521
basketball,0.689011303,0.152466368,0.083492125,0.086237318,0.657142857
schtick,0.703534125,0.169539078,0.102221336,0.096245734,0.71092437
grocery,0.583416798,0.114911081,0.040622298,0.063168449,0.635294118
stuffy,0.67362999,0.149832277,0.080209804,0.084259065,0.675630252
revived,0.677135499,0.143480736,0.073512313,0.080872914,0.635294118
hindsight,0.676420089,0.140277514,0.070062127,0.079082726,0.620168067
fanciful,0.699313206,0.151765893,0.083078521,0.086238532,0.631932773
unsuccessfully,0.628702246,0.12360689,0.050926714,0.068706589,0.61512605
jerks,0.624767492,0.128592789,0.056302564,0.071336406,0.651515152
misfit,0.670625268,0.14803849,0.078314211,0.083160083,0.673400673
fiasco,0.661897267,0.138220277,0.067555004,0.077505112,0.638047138
impaired,0.647159823,0.12522171,0.053232976,0.06998414,0.594276094
ineffective,0.647088282,0.137738158,0.06664822,0.076848059,0.663299663
arbitrary,0.661468021,0.134917733,0.064005516,0.075676784,0.621212121
corrected,0.703605666,0.15293396,0.084580713,0.087037468,0.62962963
lore,0.724495636,0.18220429,0.116593846,0.104252734,0.722222222
zoom,0.678423237,0.143319992,0.073489738,0.080808081,0.632996633
geniuses,0.69237373,0.154209284,0.085571722,0.087305122,0.65993266
giggling,0.663185005,0.141502553,0.071106424,0.079345603,0.653198653
desirable,0.640792674,0.136543422,0.065210644,0.076039073,0.668350168
slaves,0.69523537,0.155432197,0.086971609,0.088089888,0.65993266
brightest,0.632708542,0.124488404,0.052085276,0.069259962,0.614478114
dunno,0.684575762,0.148019324,0.078815342,0.083587953,0.645868465
unacceptable,0.63757333,0.124740843,0.052591216,0.069489894,0.608768971
nary,0.669766776,0.134608174,0.064021544,0.075722421,0.60539629
ugliness,0.627414509,0.129388164,0.057333967,0.071812952,0.652613828
pond,0.617541851,0.117530538,0.04438579,0.065141812,0.600337268
butter,0.653169266,0.133357168,0.062223822,0.074585083,0.629005059
avail,0.637716412,0.123875433,0.051666819,0.069018701,0.603709949
impulse,0.647016741,0.132559775,0.061209982,0.073994112,0.635750422
distasteful,0.609815424,0.125120308,0.052364027,0.069136678,0.65767285
propel,0.67577622,0.139384732,0.069310318,0.078536272,0.618887015
flock,0.662541136,0.137502286,0.066916731,0.077112387,0.634064081
deprived,0.655029332,0.132109431,0.060936181,0.073947209,0.618887015
identification,0.668479038,0.14025974,0.070035513,0.07879925,0.637436762
ronald,0.658606381,0.130466472,0.059272702,0.073135853,0.603709949
chore,0.652382315,0.130302488,0.059044674,0.072872873,0.614864865
grossing,0.658964086,0.135002722,0.064255329,0.075625127,0.628378378
elegantly,0.668335957,0.144649446,0.074843948,0.081193041,0.662162162
suprisingly,0.680068679,0.138010794,0.068080541,0.077893821,0.60472973
muscular,0.737587638,0.173128945,0.107628508,0.099895942,0.648648649
decorated,0.66783517,0.134575955,0.064044372,0.075633773,0.609797297
attends,0.624695951,0.134323432,0.062684635,0.074433065,0.6875
civilians,0.795607383,0.244379794,0.186243264,0.144873001,0.780405405
improving,0.696451567,0.14679268,0.077991415,0.083314312,0.616554054
justifies,0.649806839,0.134088095,0.063034223,0.074886386,0.640202703
egotistical,0.648662183,0.136755142,0.065977925,0.076304433,0.65820643
