,f1,acc,prec,kappa,recall
cambridge,0.0365243,0.821276363,0.01864101,0.029354224,0.898550725
revolution,0.049814126,0.860343132,0.025562762,0.042781682,0.971014493
birth,0.044232732,0.846519506,0.022648084,0.037143085,0.942028986
taste,0.032407407,0.794448694,0.016496465,0.025187611,0.913043478
imo,0.030888031,0.780570429,0.015705521,0.023648766,0.927536232
nowhere,0.022313564,0.727079008,0.011309524,0.014986715,0.826086957
adequate,0.028444444,0.761119003,0.014443692,0.021177131,0.927536232
comfortable,0.02690583,0.751010818,0.013654096,0.019622545,0.913043478
bobby,0.075409836,0.907551087,0.039182283,0.068652108,1
assertion,0.04137931,0.832914436,0.021147068,0.034254946,0.956521739
integrated,0.031770833,0.796852803,0.016176081,0.02454793,0.884057971
tomorrow,0.023949665,0.737241831,0.012144916,0.016638804,0.855072464
stephen,0.033499084,0.798218774,0.017057569,0.026289735,0.927536232
relations,0.048994516,0.857884384,0.025131283,0.041952934,0.971014493
confirmed,0.031188119,0.786143591,0.015865021,0.023954273,0.913043478
substantial,0.030089328,0.774560157,0.015292712,0.0228409,0.927536232
protecting,0.041065127,0.836684515,0.020997375,0.033942145,0.927536232
addressed,0.028394779,0.768167413,0.014425314,0.021130567,0.898550725
recorded,0.035068789,0.804556879,0.01786696,0.027875249,0.942028986
4000,0.032258065,0.800021856,0.016428764,0.025040837,0.884057971
environmental,0.057571965,0.876570867,0.029639175,0.050619549,1
stores,0.027204914,0.757731395,0.013811539,0.019926877,0.898550725
searching,0.029673591,0.767730303,0.015074212,0.022418564,0.942028986
bright,0.024455313,0.760244782,0.012418153,0.017158212,0.797101449
99,0.022740639,0.727625396,0.011526232,0.015417149,0.84057971
senate,0.100950988,0.932848869,0.053158706,0.09446777,1
route,0.027421893,0.763577751,0.013926941,0.020148239,0.884057971
centuries,0.048316252,0.857939023,0.024784078,0.04126985,0.956521739
skin,0.046661881,0.854879248,0.023923445,0.039599659,0.942028986
startup,0.040384615,0.836411321,0.020648968,0.033256422,0.913043478
heavily,0.025434506,0.748770626,0.012906001,0.018139394,0.869565217
platforms,0.061611374,0.891815102,0.031847134,0.054716871,0.942028986
analog,0.052922591,0.868976068,0.027191558,0.046024089,0.985294118
insist,0.026362039,0.757840673,0.01338091,0.019182577,0.882352941
arbitrary,0.034839412,0.806250683,0.017748197,0.027748443,0.941176471
subjects,0.034970858,0.810020763,0.017821782,0.027883509,0.926470588
observation,0.030123457,0.785378647,0.015318935,0.022985273,0.897058824
defending,0.033134166,0.805485739,0.016878805,0.026030376,0.897058824
1983,0.037428313,0.825756748,0.019106317,0.030371002,0.911764706
helping,0.028992284,0.773084909,0.01473034,0.021839251,0.911764706
cells,0.043493269,0.848595782,0.022269353,0.036501682,0.926470588
independence,0.063356974,0.891760463,0.032730826,0.056571868,0.985294118
promote,0.029214004,0.771227188,0.014840989,0.022061632,0.926470588
rick,0.043524044,0.851109168,0.022294139,0.036535533,0.911764706
restrictions,0.034140969,0.808326959,0.017396184,0.027046428,0.911764706
requirement,0.027708381,0.766091138,0.014071511,0.020542553,0.897058824
nazis,0.095104895,0.929297345,0.049926579,0.088654827,1
appearance,0.027965509,0.77210141,0.014207909,0.020804532,0.882352941
completed,0.035249458,0.805595017,0.017955801,0.02816099,0.955882353
grow,0.029769288,0.786307507,0.015140045,0.022629077,0.882352941
neutral,0.040109389,0.827395913,0.020477816,0.033072729,0.970588235
mountain,0.033937302,0.816468146,0.017307128,0.026847345,0.867647059
desk,0.029850746,0.790460059,0.015186615,0.02271357,0.867647059
matt,0.033324375,0.803464102,0.016972351,0.026220571,0.911764706
mere,0.027981651,0.768440608,0.014212488,0.020818954,0.897058824
attorney,0.070981211,0.90274287,0.036796537,0.064274722,1
connections,0.039097744,0.825428915,0.019957016,0.032052137,0.955882353
wow,0.025917927,0.753578844,0.013152126,0.018733342,0.882352941
custom,0.032881002,0.797508469,0.016737513,0.02577008,0.926470588
modems,0.044444444,0.84493498,0.022742936,0.037455653,0.970588235
nose,0.028388278,0.768112775,0.014418605,0.021228368,0.911764706
capital,0.033402923,0.797617747,0.017003188,0.026295838,0.941176471
dogs,0.04403794,0.845809201,0.022538141,0.037047182,0.955882353
scores,0.047396768,0.855043165,0.024291498,0.040440494,0.970588235
biased,0.030505243,0.77772921,0.015503876,0.023365599,0.941176471
demonstrate,0.035275254,0.802753797,0.017964072,0.02818504,0.970588235
widgets,0.170426065,0.96382909,0.093150685,0.164748296,1
loose,0.028194227,0.76270353,0.014314928,0.021030309,0.926470588
swap,0.044067797,0.845918479,0.022553782,0.03707737,0.955882353
contribute,0.025094103,0.745273741,0.012728044,0.01790001,0.882352941
examine,0.031930334,0.781335373,0.016232169,0.024802958,0.970588235
lc,0.112889638,0.942465304,0.059874888,0.106631424,0.985294118
occasionally,0.021825024,0.715932685,0.011053936,0.014596288,0.852941176
pitchers,0.222222222,0.973991913,0.125,0.217050663,1
destruction,0.045362221,0.845918479,0.023215523,0.038381035,0.985294118
mask,0.042752171,0.843405092,0.021865391,0.035851023,0.955223881
inhabitants,0.134134134,0.952737406,0.071888412,0.128179104,1
glory,0.04583921,0.852147306,0.023474178,0.038969154,0.970149254
baby,0.038496241,0.825319637,0.019643953,0.031548501,0.955223881
conservative,0.045681656,0.853895749,0.023400366,0.038812497,0.955223881
analogy,0.048270893,0.855644192,0.024732374,0.041421955,1
confusing,0.025680087,0.755381925,0.013030035,0.018599432,0.880597015
5000,0.036702428,0.813572287,0.018705036,0.029732893,0.970149254
victory,0.041447368,0.840782428,0.021190716,0.034534403,0.940298507
competition,0.020594966,0.719374932,0.010430751,0.013464226,0.805970149
instrument,0.027537923,0.772319965,0.013987672,0.020478389,0.880597015
bias,0.029418975,0.783684843,0.014955135,0.02237879,0.895522388
handy,0.021877486,0.731286198,0.011086475,0.014760072,0.820895522
responding,0.027258027,0.769915856,0.013843266,0.020195313,0.880597015
roads,0.053174603,0.869631734,0.027313494,0.046378195,1
impressed,0.020991676,0.70440389,0.010624657,0.013859083,0.865671642
interview,0.036879433,0.814501147,0.018796992,0.029911831,0.970149254
truck,0.036416185,0.817834116,0.018567639,0.029447788,0.940298507
crack,0.050117463,0.867446181,0.025733816,0.043296614,0.955223881
difficulty,0.026029443,0.750573708,0.013203463,0.018949256,0.910447761
elses,0.026563839,0.751721123,0.013475331,0.019487957,0.925373134
representative,0.03,0.788001311,0.01525553,0.022966367,0.895522388
writers,0.027996071,0.783739482,0.01423221,0.020945768,0.850746269
strictly,0.021456804,0.715932685,0.010865421,0.014331133,0.850746269
accuracy,0.026143791,0.763905584,0.013269275,0.019174986,0.878787879
1980,0.027082855,0.768385969,0.013749709,0.020122714,0.893939394
installing,0.02858504,0.777182822,0.014520813,0.021639724,0.909090909
catalog,0.037759208,0.830127855,0.019273302,0.030912606,0.924242424
beta,0.034890264,0.812588788,0.017775229,0.028010142,0.939393939
32bit,0.06312769,0.892962518,0.032592593,0.056537911,1
sometime,0.020102339,0.707026554,0.010173881,0.013070133,0.833333333
ideal,0.024264857,0.740738717,0.012299354,0.017273305,0.893939394
luke,0.102964119,0.937165337,0.054276316,0.096785207,1
garbage,0.021939954,0.722325429,0.011111111,0.014925519,0.863636364
native,0.04501385,0.849306087,0.02303331,0.038235816,0.984848485
bat,0.076735688,0.917167523,0.039974619,0.070299906,0.954545455
spec,0.036769138,0.825374276,0.018757688,0.029911717,0.924242424
iron,0.033916849,0.807015627,0.017270195,0.027026126,0.939393939
hatred,0.075949367,0.912250027,0.039473684,0.0694931,1
verse,0.097345133,0.933122063,0.051162791,0.091108973,1
pool,0.03013561,0.78898481,0.015321757,0.02320743,0.909090909
pushing,0.029434547,0.794612611,0.014972419,0.022504671,0.863636364
2400,0.049304175,0.86935854,0.025316456,0.042580161,0.939393939
deals,0.023472278,0.736312971,0.011894996,0.016473497,0.878787879
survive,0.030940908,0.791225003,0.015733815,0.024019643,0.924242424
publication,0.032020997,0.798491968,0.016292735,0.025111584,0.924242424
incredibly,0.023656776,0.733908862,0.011986997,0.016658438,0.893939394
jan,0.034569278,0.810785706,0.017608634,0.027685661,0.939393939
scientist,0.040777318,0.835482461,0.020826554,0.033956391,0.96969697
romans,0.115891133,0.944978691,0.061509786,0.109843046,1
pgp,0.179347826,0.966998142,0.098507463,0.173924168,1
bruce,0.025389755,0.760900448,0.012884268,0.018414303,0.863636364
broad,0.031031808,0.795268277,0.01578532,0.024113524,0.909090909
complaints,0.022294285,0.736422249,0.011298274,0.015287216,0.833333333
conversations,0.068098481,0.902797508,0.035268584,0.061564176,0.984848485
spectrum,0.024326672,0.754562343,0.012340238,0.017341013,0.848484848
entitled,0.03471827,0.814665064,0.017691415,0.027838414,0.924242424
murdered,0.10766721,0.940225112,0.056896552,0.101536038,1
slight,0.026208026,0.74013769,0.01328352,0.019229982,0.96969697
atmosphere,0.088375255,0.926729319,0.046230441,0.082143762,1
exit,0.041436464,0.848322588,0.021193924,0.034734021,0.923076923
int,0.056776557,0.887443995,0.029259084,0.050231083,0.953846154
kid,0.033796675,0.806305322,0.017203108,0.027007903,0.953846154
launched,0.062655395,0.897005792,0.032374101,0.056168001,0.969230769
desired,0.025344598,0.760463337,0.01285811,0.018473516,0.876923077
soft,0.021619417,0.737897498,0.01095494,0.014713661,0.815384615
cares,0.026457399,0.762758169,0.013424346,0.019595026,0.907692308
procedures,0.03786468,0.830619604,0.019322141,0.031121525,0.938461538
appeal,0.030914331,0.797890941,0.015724947,0.024100512,0.907692308
saves,0.031622746,0.809255819,0.016101695,0.024820894,0.876923077
winter,0.027070429,0.768276691,0.013740102,0.020214744,0.907692308
backed,0.032128514,0.802480603,0.016348774,0.025325839,0.923076923
ignoring,0.029665072,0.778384876,0.015066829,0.022832133,0.953846154
rape,0.070232307,0.905966561,0.036394177,0.063816061,1
mistaken,0.026373626,0.782154956,0.013399504,0.019519773,0.830769231
rev,0.034168565,0.814665064,0.01740644,0.027387916,0.923076923
resurrection,0.122065728,0.948912687,0.065,0.116171004,1
scope,0.035325287,0.82094853,0.018007203,0.028557113,0.923076923
525,0.05243129,0.877554366,0.026956522,0.045840118,0.953846154
penalties,0.063116371,0.896186209,0.032603158,0.056630339,0.984615385
alleged,0.043704475,0.849360726,0.022356281,0.037018587,0.969230769
quebec,0.101641908,0.937219976,0.05354201,0.095544007,1
apples,0.057388809,0.892306852,0.029615005,0.05085657,0.923076923
teachings,0.144124169,0.957818818,0.077658303,0.138445501,1
codes,0.030025445,0.791716752,0.015265201,0.023201956,0.907692308
contrast,0.037624927,0.821112447,0.019178903,0.030872692,0.984615385
instruments,0.03308026,0.805157906,0.016836876,0.02628582,0.938461538
aids,0.051550544,0.871325538,0.026468156,0.044944323,0.984615385
nasty,0.022217564,0.745109824,0.011262218,0.015318614,0.815384615
switches,0.039138943,0.839033985,0.019993336,0.032411823,0.923076923
decades,0.037631092,0.829526828,0.019200504,0.030885437,0.938461538
94,0.032054651,0.798710523,0.016305801,0.025249193,0.938461538
inch,0.026274772,0.761064365,0.013330321,0.019410406,0.907692308
vice,0.027363792,0.782482789,0.013902681,0.020516964,0.861538462
covering,0.026783653,0.769697301,0.013592688,0.020031254,0.90625
raw,0.032024793,0.795213638,0.016281513,0.025320782,0.96875
occupation,0.185507246,0.969292973,0.102236422,0.180306229,1
